time,x_true,y_true,vx_true,vy_true,x_meas,y_meas,vx_meas,vy_meas
0.0,-0.0014853346833424525,0.023852399440615527,-0.09902231222283016,1.5901599627077017,-0.6758159230807966,1.1228831747481862,-2.0945609213811993,1.4535662874124673
0.01,-0.0019649414923416817,0.0627270256238109,-0.06498122467422535,3.1216950664489254,0.42971648093875797,-0.6538332499009902,-1.718269780977892,2.929629330501653
0.02,-0.001871844148676128,0.11397964901138062,-0.015453918647038198,4.457406581320957,0.2400427832424223,-0.5479237642924153,3.8613355794358752,2.519167401199314
0.03,-0.0020558073243406357,0.18156454427373975,-0.017415517926646567,5.991461877930925,-0.07529902520209625,1.879345339621509,3.966936988963592,2.319097267395925
0.04,-0.0005913203179406142,0.2630342229831107,0.09182729445111924,7.428465873268369,1.6804613848934213,-2.2871594009291574,-2.5803002294257564,8.663738381814943
0.05,0.002601672423076881,0.358896608045259,0.24347528088487275,8.866980961899346,1.7703297284660848,0.8421094871838254,1.8990873195512465,8.153516225869303
0.06,0.008156444113177829,0.47011839139181955,0.45147653963502077,10.370445877070482,-0.8672097134841249,1.8982965052898537,1.0798887349604724,11.782047400797083
0.07,0.016668755224332216,0.5971853863476061,0.7179795872886328,11.927948289409258,1.8682973491267858,0.8003899700418025,0.08472231846715739,7.996205409480773
0.08,0.02606764296718729,0.7385221948271079,0.8659190452865493,13.398436661769871,1.6585722950457036,0.9603983768146307,0.3838921543886161,11.715701881091983
0.09,0.038263335250218126,0.8952225259118819,1.1016858339642388,14.912834292908224,-0.2231289525438176,1.3267437039101329,2.179375802494787,17.37514587561531
0.1,0.05391447776304312,1.0648631812200942,1.4106381121764122,16.28032178485023,0.636110856561888,1.3833048266654484,-0.283149365803568,15.663691961881765
0.11,0.07226765139430673,1.2489792392602779,1.6937576128097116,17.701177797628983,-0.2998755481102119,0.14687372245670582,2.2888106348667825,20.240859132541434
0.12,0.09470210665225576,1.4484293253754008,2.0602162214665056,19.197065006884518,-0.7305222609134243,0.5623765835197891,-0.7906405662207114,16.429232143924494
0.13,0.12141644940602668,1.6628646601662798,2.467694924073563,20.69471065502011,-0.8044753018457104,0.8362438057988606,2.815946952676812,20.90746218363698
0.14,0.15059700012936134,1.8926182092039472,2.767935022913498,22.215140154184542,0.17078957602606185,1.273487312920071,5.223351359999823,22.523665956891406
0.15,0.18280158936509536,2.137589030339505,3.0696176233534342,23.736434793765373,-0.7414919767337211,1.4322428409867962,2.607998989314183,26.103990028436144
0.16,0.2191486170369869,2.3986217799186202,3.4463410525772478,25.314328236529505,1.201893371844054,2.154323651470445,3.945546660622597,23.01521667636905
0.17,0.25954504562702446,2.672643355075134,3.8418755901949195,26.706214422610746,1.6099554438940242,1.079929991968514,4.470224361908894,24.289193706622033
0.18,0.3042703753355367,2.960859015614899,4.262313843965788,28.11644884352123,0.26214753059919765,3.025167754651866,4.185580959555877,26.1856770897099
0.19,0.35399968438344265,3.2626584612878267,4.7360585511823245,29.492112659368942,-0.04553820466881314,2.86094135640529,7.36303153092339,27.314368956045218
0.2,0.40925038234667216,3.5802209718511397,5.26206604794274,31.001538257343874,1.39006749878393,2.9481504997728187,4.486965025334371,31.491552184178374
0.21,0.4705649472327624,3.912712515453249,5.841659675053594,32.49994899258858,1.1199448403223937,4.226558729672509,5.3129767871437386,33.30436104353489
0.22,0.5361447769219975,4.257863998615996,6.31920853763354,33.843415208379305,-0.350777591026194,4.300901106337736,6.266458210122332,31.697224745270887
0.23,0.60799460902094,4.617957352851705,6.896391652474021,35.287362018507025,-0.2006814301118588,4.1335846181937885,10.84439613101279,35.0236733222485
0.24,0.6849569515550062,4.991318955132777,7.429620053095757,36.65322749157384,0.047680625876863725,3.0203450269113414,4.614532706755295,38.49989969367259
0.25,0.7680249760040662,5.380440126547776,8.014408314302573,38.159153924857875,0.9227292481790126,5.1015025721841205,9.29937637474274,37.35845397977656
0.26,0.857183076042201,5.782658193444008,8.615342773976513,39.53425576803478,0.5982908470537459,3.8929785577648373,8.024442363277098,41.8098502674478
0.27,0.9549736983972376,6.198806022919655,9.39115574832794,40.921273887721405,1.8993057535419076,4.779229753991446,8.704280686872147,40.85295587856959
0.28,1.0582591900581126,6.6297716676753,10.016084693500972,42.37146761295012,1.948558471825268,5.603961274059593,8.833588921206372,40.8593993482311
0.29,1.1687061840880448,7.0740334465199854,10.701827833162458,43.74127446062909,2.5115733788606516,7.1177579467811185,14.661673135475354,45.31918270842429
0.3,1.2859694959360717,7.532542403016168,11.384830067589274,45.147688586621925,1.9336473006337176,7.949571101362692,13.41028962446688,43.201615062177964
0.31,1.410997132344486,8.005451850402013,12.130119116424048,46.576526021263625,0.2930297334785008,6.8197657829315,14.148357597601732,45.56239392425193
0.32,1.5445741486955298,8.492966110671412,12.948507462210928,48.026459358381125,0.24285463515674421,8.691333201716251,14.247732532348218,48.35153759884855
0.33,1.6852801810166027,8.994641412609749,13.696571308808512,49.45383991534946,1.2202174035013487,9.61487722635774,14.463457788634871,51.079443852305225
0.34,1.8347205895488776,9.510499104612855,14.528217671754506,50.875126105323574,2.3758798270119907,9.036520742134035,11.612232888884156,53.9971597291748
0.35000000000000003,1.9932070106422628,10.039460118172821,15.408500630143848,52.222442939105555,0.5663519309675111,10.668756905060803,15.418469501999969,56.18524387852881
0.36,2.1586115025519157,10.581415890641063,16.16313300402482,53.53786581091802,1.2870841212411686,10.161914810967135,17.248161508365378,50.60439529933632
0.37,2.334920530169974,11.138089469764514,17.141646175878847,54.957527211869525,2.5808625437521897,12.494398263958434,13.826240546132114,57.1564313500955
